Country,σ′v (kPa),qt − σv (kPa),qt − u2 (kPa),u2 − u0 (kPa),Su (kPa)
Canada,36.75,667.3065,565.95,138.1065,56.154
Canada,36.75,376.32,248.724,164.346,55.6395
Canada,45.07,409.8215,169.4181,285.4734,16.72097
Canada,47.16,422.7894,169.4459,300.5035,36.87912
Canada,51.32,405.1714,162.2225,294.3202,31.20256
Canada,53.4,383.145,155.0202,281.5248,29.2098
Canada,53.4,380.0478,144.18,289.2678,40.1034
Canada,59.64,367.621,136.9931,290.2679,38.28888
Canada,61.73,396.0597,144.2013,313.5884,41.9764
Canada,67.97,410.063,140.562,337.4031,41.12185
Canada,72.13,414.3147,151.4009,335.0439,24.66846
Canada,74.21,417.2086,144.19,347.2286,35.6208
Canada,80.46,511.5647,212.6558,379.3689,67.34502
Canada,82.54,503.6591,205.4421,380.757,27.2382
Canada,95.03,495.3914,180.2719,410.2445,54.07207
Canada,97.11,523.6171,183.8292,436.8979,39.42666
Canada,103.35,557.5733,223.4427,437.4806,59.63295
Canada,105.43,610.9669,241.5401,474.9622,47.97065
Canada,111.68,648.6374,241.5638,518.7536,50.92608
Canada,120,580.2,299.16,401.04,51.6
Canada,132.49,659.4027,255.9707,536.0545,69.95472
Canada,31.38,823.2857,841.9568,12.7089,20.30286
Canada,32.76,401.2772,416.4779,17.55936,19.0008
Canada,36.21,228.5575,159.6137,105.1538,20.56728
Canada,36.9,216.972,148.707,105.1281,19.9998
Canada,40.69,208.5363,144.0833,105.143,18.51395
Canada,45.52,208.4361,139.1091,114.8925,21.98616
Canada,48.97,210.0813,149.0157,109.9866,24.63191
Canada,49.66,208.4727,148.1358,109.9969,25.3266
Canada,53.45,190.9769,129.5628,114.8641,22.8766
Canada,54.48,208.0591,147.6408,114.8438,31.76184
North Sea,31,279,120.001,189.999,17.763
UK,30,266.01,174,111.81,24.3
UK,30.02,264.9865,167.9919,115.607,21.25416
UK,34.01,267.9648,169.982,115.8041,26.69785
UK,34.96,302.0544,189.0287,129.5618,29.12168
UK,41.03,375.9579,238.015,151.6469,35.40889
UK,41.96,381.0807,243.0323,151.2658,31.30216
UK,47,401.004,250.98,160.787,29.845
UK,47.02,404.9833,247.9835,166.7329,32.86698
UK,50,420.95,267,162.5,23.25
UK,58.99,496.9908,341.965,157.5033,41.17502
UK,59,497.016,342.023,157.412,33.099
UK,74.04,583.9535,414.9942,163.3322,46.34904
UK,74.99,587.9966,341.9544,238.6932,45.59392
UK,77.03,597.9069,351.9501,238.6389,43.21383
UK,96.95,733.039,378.0081,335.7379,52.9347
UK,97.98,740.0429,390.0584,330.4865,57.3183
UK,97.98,740.0429,389.9604,330.3886,59.96376
UK,100.03,760.0279,434.0302,305.7917,61.61848
UK,99.96,764.0942,408.0367,334.2662,62.37504
UK,116.02,893.9341,484.0354,380.4296,70.7722
UK,116.02,893.9341,484.0354,380.4296,71.58434
UK,116.02,893.9341,484.0354,380.1975,69.72802
UK,117.98,903.0189,478.9988,393.2273,67.60254
UK,233,2017.081,1959.996,290.085,137.47
UK,315,2060.1,1809.99,565.11,141.12
Norway,42.24,229.7856,193.1635,78.86208,5.82912
Norway,45.11,273.2313,232.4518,85.88944,10.96173
Norway,50.84,276.9255,221.6116,106.1031,13.42176
Norway,58,319.638,226.142,151.496,13.224
Norway,60.86,327.5485,221.287,167.1216,18.07542
Norway,64.44,362.7328,245.3231,181.8497,13.2102
Norway,68.02,299.9682,181.2733,186.7149,14.14816
Norway,72.32,468.3443,348.4378,192.2266,11.86048
Norway,75.9,369.0258,246.2955,198.6303,15.8631
Norway,80.91,399.129,264.8184,215.2206,14.88744
Norway,82.34,390.5386,370.283,102.678,20.9967
Norway,84.49,359.2515,234.4598,209.2817,18.67229
Norway,85.92,411.8146,322.9733,174.8472,21.99552
Norway,90.21,286.958,211.2718,165.806,34.09938
Norway,98.81,339.5112,245.5429,192.7783,11.65958
Norway,103.82,311.3562,214.0768,201.0993,10.9011
Norway,117.42,483.3007,398.2886,202.4321,22.19238
Norway,122.43,476.7424,337.1722,262.0002,18.60936
Norway,126.73,427.2068,314.6706,239.2662,19.13623
Norway,40,297,170,167,24.76
USA,24.86,324.1247,176.6303,172.3544,32.21856
USA,127.15,587.0516,563.1474,151.0542,63.8293
USA,132.88,372.8613,235.5962,270.0122,56.07536
USA,138.62,502.9134,320.0736,321.3212,54.47766
USA,140.53,519.1178,333.1966,326.4512,51.01239
USA,146.27,536.3721,345.7823,336.8598,60.11697
USA,150.09,460.7763,280.218,330.6483,57.18429
USA,152,456,286.216,321.784,60.648
USA,158.7,432.1401,277.4076,313.4325,61.4169
USA,165.39,484.7581,308.7831,341.365,62.68281
USA,167.3,520.1357,319.543,367.8927,63.9086
USA,175.9,472.2915,296.2156,351.9759,62.6204
USA,182.6,465.63,316.4458,331.7842,70.8488
USA,184.51,472.3456,307.2092,349.4619,65.31654
USA,192.16,550.7306,369.3315,373.559,53.42048
USA,199.8,1002.796,726.4728,476.1234,102.4974
USA,208.41,888.035,577.2957,519.1493,105.2471
Canada,133.42,904.1873,397.5916,639.8823,98.33054
Canada,138.38,830.5568,398.8112,570.1256,96.1741
Canada,173.36,761.0504,434.2668,500.1436,71.42432
Canada,177.87,978.4629,424.7536,731.5793,130.3787
