Depth(m),Water Content (%),Su(kPa)
2.1,0.57,3.28
4.125,0.6,3.95
6.375,0.59,4.21
8.4,0.58,7.74
10.425,0.54,10.04
12.525,0.52,11.22
14.55,0.5,16.7
16.425,0.49,21.8
18.525,0.47,27.34
17.43,0.46,25.57
15.7275,0.48,18.99
14.0175,0.49,15.51
12.3075,0.52,11.15
10.425,0.54,10.19
8.5425,0.54,7.97
6.84,0.6,5.04
5.13,0.61,3.89
3.42,0.61,3.82
1.71,0.58,3.42
0.4275,0.53,2.33
20.09090909,0.45,26.22
18.54545455,0.45,19.64
17,0.47,15.45
15.37727273,0.47,12.85
13.75454545,0.50,8.99
12.20909091,0.52,7.67
10.66363636,0.51,6.19
9.079545455,0.52,4.64
7.495454545,0.53,2.27
5.95,0.61,3.26
4.365909091,0.62,3.2
2.781818182,0.64,2.89
1.197727273,0.64,2.89
0.193181818,0.63,2.42
24.25,0.46,18
22.51,0.46,13.81
20.76,0.46,9.74
19.02,0.48,9.06
17.27,0.49,7.96
15.53,0.51,6.86
13.70,0.50,5.8
11.86,0.50,5.24
10.12,0.52,4.77
8.37,0.54,3.1
6.59,0.56,3.35
4.80,0.59,2.55
3.05,0.59,2.09
1.31,0.64,1.8
0.22,0.69,1.69
